Date,Symbol,Open,Volume,high,Investments,Earnings per share,gross profit
2016-09-01,WLTW,124.0,526200.0,125.239998,3000000,7.23,3829000000
2016-09-02,WLTW,125.5,487300.0,126.610001,3000000,7.23,3829000000
2016-09-06,WLTW,126.82,752300.0,127.660004,3000000,7.23,3829000000
2016-09-07,WLTW,127.660004,632500.0,128.979996,3000000,7.23,3829000000
2016-09-08,WLTW,127.860001,728300.0,128.279999,3000000,7.23,3829000000
2016-09-09,WLTW,124.389999,641100.0,124.839996,3000000,7.23,3829000000
2016-09-12,WLTW,121.709999,655500.0,125.459999,3000000,7.23,3829000000
2016-09-13,WLTW,124.0,488900.0,124.050003,3000000,7.23,3829000000
2016-09-14,WLTW,122.900002,741900.0,123.589996,3000000,7.23,3829000000
2016-09-15,WLTW,122.230003,713400.0,125.5,3000000,7.23,3829000000
2016-09-16,WLTW,124.230003,1847200.0,124.489998,3000000,7.23,3829000000
2016-09-19,WLTW,124.599998,310700.0,125.0,3000000,7.23,3829000000
2016-09-20,WLTW,125.93,311000.0,126.379997,3000000,7.23,3829000000
2016-09-21,WLTW,125.870003,927700.0,128.5,3000000,7.23,3829000000
2016-09-22,WLTW,129.0,716500.0,129.759995,3000000,7.23,3829000000
2016-09-23,WLTW,128.710007,797000.0,128.970001,3000000,7.23,3829000000
2016-09-26,WLTW,127.809998,410300.0,128.029999,3000000,7.23,3829000000
2016-09-27,WLTW,128.419998,503600.0,129.679993,3000000,7.23,3829000000
2016-09-28,WLTW,128.639999,567200.0,129.380005,3000000,7.23,3829000000
2016-09-29,WLTW,128.089996,1504500.0,130.720001,3000000,7.23,3829000000
2016-09-30,WLTW,129.169998,1461900.0,133.399994,3000000,7.23,3829000000
2016-10-03,WLTW,132.449997,1142100.0,132.740005,3000000,7.23,3829000000
2016-10-04,WLTW,132.0,1068500.0,132.089996,3000000,7.23,3829000000
2016-10-05,WLTW,131.380005,700200.0,132.639999,3000000,7.23,3829000000
2016-10-06,WLTW,131.820007,767200.0,132.639999,3000000,7.23,3829000000
2016-10-07,WLTW,132.309998,855100.0,132.630005,3000000,7.23,3829000000
2016-10-10,WLTW,131.940002,423800.0,132.570007,3000000,7.23,3829000000
2016-10-11,WLTW,130.520004,575700.0,131.419998,3000000,7.23,3829000000
2016-10-12,WLTW,129.029999,681900.0,130.949997,3000000,7.23,3829000000
2016-10-13,WLTW,128.940002,540300.0,128.949997,3000000,7.23,3829000000
