Date,Price,Open,High,Low,Change%
"Nov 04, 2015",65.609,65.592,65.63,65.33,0.06%
"Nov 03, 2015",65.569,65.568,65.795,65.42,0.01%
"Nov 02, 2015",65.561,65.413,65.665,65.355,0.21%
"Oct 30, 2015",65.423,65.444,65.453,65.12,-0.04%
"Oct 29, 2015",65.449,65.154,65.47,65.12,0.76%
"Oct 28, 2015",64.954,65.112,65.12,64.833,-0.24%
"Oct 27, 2015",65.112,64.921,65.117,64.885,0.29%
"Oct 26, 2015",64.921,64.964,65.025,64.788,0.04%
"Oct 23, 2015",64.892,64.869,65.06,64.7,0.05%
"Oct 22, 2015",64.86,65.133,65.173,64.853,-0.44%
"Oct 21, 2015",65.146,65.024,65.23,65,0.19%
"Oct 20, 2015",65.024,64.92,65.07,64.86,0.16%
"Oct 19, 2015",64.919,64.703,64.937,64.681,0.33%
"Oct 16, 2015",64.703,64.78,65.03,64.639,-0.12%
"Oct 15, 2015",64.779,64.735,64.921,64.68,0.07%
"Oct 14, 2015",64.736,65.112,65.185,64.73,-0.56%
"Oct 13, 2015",65.098,64.797,65.192,64.78,0.47%
"Oct 12, 2015",64.795,64.779,64.89,64.7,0.02%
"Oct 09, 2015",64.78,64.817,65.004,64.689,-0.06%
"Oct 08, 2015",64.819,64.935,65.188,64.816,-0.14%
"Oct 07, 2015",64.907,65.127,65.37,64.815,-0.34%
"Oct 06, 2015",65.129,65.145,65.44,65.128,-0.01%
"Oct 05, 2015",65.134,65.155,65.34,65.047,-0.35%
"Oct 02, 2015",65.364,65.623,65.7,65.358,-0.41%
"Oct 01, 2015",65.631,65.524,65.68,65.49,0.17%
"Sep 30, 2015",65.517,65.836,65.955,65.48,-0.49%
"Sep 29, 2015",65.837,66.413,66.441,65.836,-0.65%
"Sep 28, 2015",66.267,66.16,66.274,66.02,0.15%
"Sep 25, 2015",66.17,66.108,66.242,66.07,0.09%
"Sep 24, 2015",66.11,66.175,66.38,66.04,-0.11%
"Sep 23, 2015",66.184,65.91,66.186,65.828,0.42%
"Sep 22, 2015",65.91,65.71,65.97,65.56,0.33%
"Sep 21, 2015",65.691,65.869,65.95,65.62,-0.27%
"Sep 18, 2015",65.868,66.117,66.26,65.67,-0.31%
"Sep 17, 2015",66.071,66.194,66.301,66.066,-0.22%
"Sep 16, 2015",66.219,66.449,66.52,66.186,-0.34%
"Sep 15, 2015",66.447,66.279,66.48,66.266,0.28%
"Sep 14, 2015",66.261,66.242,66.5,66.21,0.03%
"Sep 11, 2015",66.241,66.309,66.59,66.238,-0.09%
"Sep 10, 2015",66.299,66.646,66.77,66.298,-0.48%
"Sep 09, 2015",66.619,66.311,66.65,66.245,0.49%
"Sep 08, 2015",66.294,66.853,66.913,66.293,-0.89%
"Sep 07, 2015",66.886,66.726,66.907,66.585,0.30%
"Sep 04, 2015",66.685,66.124,66.785,66.09,0.89%
"Sep 03, 2015",66.1,66.202,66.3,66.04,-0.15%
"Sep 02, 2015",66.202,66.383,66.474,66.125,-0.27%
"Sep 01, 2015",66.383,66.398,66.47,66.19,-0.04%
"Aug 31, 2015",66.412,66.151,66.5,66.128,0.40%
"Aug 28, 2015",66.15,65.985,66.26,65.94,0.28%
"Aug 27, 2015",65.968,66.141,66.16,65.865,-0.05%
"Aug 26, 2015",66.004,66.289,66.39,66.004,-0.42%
"Aug 25, 2015",66.28,66.867,66.91,65.87,-0.80%
"Aug 24, 2015",66.814,66.39,66.816,66.305,1.18%
"Aug 21, 2015",66.034,65.441,66.045,65.42,0.92%
"Aug 20, 2015",65.433,65.097,65.7,65.061,0.50%
"Aug 19, 2015",65.109,65.409,65.45,65.061,-0.53%
"Aug 18, 2015",65.454,65.444,65.5,65.3,0.03%
"Aug 17, 2015",65.436,65.097,65.461,65.07,0.47%
"Aug 14, 2015",65.129,65.234,65.38,64.96,-0.11%
