Date,Price,Open,High,Low,Change %
"Apr 25, 2016",66.685,66.66,66.765,66.59,0.04%
"Apr 22, 2016",66.66,66.502,66.731,66.457,0.26%
"Apr 21, 2016",66.489,66.165,66.528,66.164,0.49%
"Apr 20, 2016",66.166,66.137,66.36,66.095,0.02%
"Apr 19, 2016",66.15,66.417,66.502,66.129,-0.40%
"Apr 18, 2016",66.416,66.66,66.72,66.415,-0.37%
"Apr 15, 2016",66.66,66.597,66.68,66.469,0.09%
"Apr 14, 2016",66.597,66.506,66.69,66.479,0.15%
"Apr 13, 2016",66.496,66.277,66.68,66.271,0.32%
"Apr 12, 2016",66.283,66.301,66.567,66.272,-0.01%
"Apr 11, 2016",66.287,66.555,66.603,66.28,-0.40%
"Apr 08, 2016",66.551,66.757,66.787,66.475,-0.31%
"Apr 07, 2016",66.757,66.517,66.826,66.422,0.36%
"Apr 06, 2016",66.517,66.42,66.745,66.38,0.14%
"Apr 05, 2016",66.422,66.112,66.558,66.08,0.48%
"Apr 04, 2016",66.106,66.31,66.387,66.024,-0.39%
"Apr 01, 2016",66.365,66.355,66.502,66.27,0.17%
"Mar 31, 2016",66.255,66.235,66.358,66.125,-0.18%
"Mar 30, 2016",66.375,66.295,66.502,66.265,0.00%
"Mar 29, 2016",66.375,66.61,66.66,66.366,-0.35%
"Mar 28, 2016",66.608,66.79,66.912,66.511,-0.33%
"Mar 25, 2016",66.829,66.916,66.928,66.745,-0.13%
"Mar 24, 2016",66.916,66.93,66.948,66.822,-0.02%
"Mar 23, 2016",66.93,66.755,66.956,66.625,0.26%
"Mar 22, 2016",66.755,66.5,66.84,66.48,0.38%
"Mar 21, 2016",66.5,66.383,66.571,66.383,0.17%
"Mar 18, 2016",66.384,66.63,66.7,66.256,-0.35%
"Mar 17, 2016",66.619,66.91,66.958,66.605,-0.82%
"Mar 16, 2016",67.173,67.37,67.46,67.173,-0.30%
"Mar 15, 2016",67.372,67.138,67.415,67.136,0.35%
"Mar 14, 2016",67.138,66.973,67.246,66.88,0.32%
"Mar 11, 2016",66.921,67.303,67.352,66.901,-0.57%
"Mar 10, 2016",67.302,67.128,67.373,66.895,0.26%
"Mar 09, 2016",67.128,67.325,67.515,67.062,-0.27%
"Mar 08, 2016",67.313,66.989,67.47,66.988,0.48%
"Mar 07, 2016",66.989,66.989,67.156,66.933,0.08%
"Mar 04, 2016",66.938,67.121,67.355,66.881,-0.27%
"Mar 03, 2016",67.122,67.41,67.46,67.121,-0.41%
"Mar 02, 2016",67.395,67.599,67.765,67.392,-0.53%
"Mar 01, 2016",67.753,68.206,68.36,67.677,-0.67%
"Feb 29, 2016",68.208,68.737,68.792,68.203,-0.77%
"Feb 26, 2016",68.737,68.779,68.86,68.63,-0.05%
"Feb 25, 2016",68.768,68.431,68.909,68.384,0.49%
"Feb 24, 2016",68.431,68.561,68.66,68.386,-0.19%
"Feb 23, 2016",68.561,68.553,68.69,68.46,0.04%
"Feb 22, 2016",68.533,68.69,68.725,68.505,-0.02%
"Feb 19, 2016",68.545,68.531,68.686,68.521,0.00%
"Feb 18, 2016",68.542,68.322,68.6,68.316,0.31%
"Feb 17, 2016",68.329,68.482,68.69,68.314,-0.21%
"Feb 16, 2016",68.474,68.14,68.512,68.061,0.50%
"Feb 15, 2016",68.131,68.119,68.27,68.01,0.02%
"Feb 12, 2016",68.118,68.471,68.496,68.11,-0.52%
"Feb 11, 2016",68.471,67.862,68.489,67.785,0.90%
"Feb 10, 2016",67.861,67.91,67.996,67.798,-0.06%
"Feb 09, 2016",67.901,68.054,68.22,67.882,-0.20%
"Feb 08, 2016",68.034,67.88,68.068,67.78,0.33%
"Feb 05, 2016",67.81,67.546,67.84,67.495,0.39%
"Feb 04, 2016",67.544,67.76,67.895,67.524,-0.57%
"Feb 03, 2016",67.934,67.977,68.265,67.929,-0.06%
"Feb 02, 2016",67.975,67.817,68.043,67.764,0.21%
"Feb 01, 2016",67.835,67.878,67.97,67.64,-0.06%
"Jan 29, 2016",67.878,68.053,68.18,67.785,-0.26%
"Jan 28, 2016",68.053,68.15,68.265,68.017,-0.13%
"Jan 27, 2016",68.144,67.766,68.185,67.739,0.60%
"Jan 26, 2016",67.739,67.727,67.909,67.697,-0.02%
"Jan 25, 2016",67.755,67.579,67.85,67.493,0.30%
"Jan 22, 2016",67.549,67.826,67.869,67.547,-0.37%
"Jan 21, 2016",67.799,67.955,68.12,67.797,-0.23%
"Jan 20, 2016",67.958,67.734,68.18,67.731,0.33%
"Jan 19, 2016",67.734,67.662,67.8,67.525,0.11%
"Jan 18, 2016",67.661,67.791,67.791,67.5,-0.17%
"Jan 15, 2016",67.775,67.328,67.869,67.255,0.68%
"Jan 14, 2016",67.316,66.918,67.49,66.917,0.60%
"Jan 13, 2016",66.917,66.947,66.953,66.73,-0.04%
"Jan 12, 2016",66.946,66.766,66.98,66.74,0.28%
"Jan 11, 2016",66.76,66.874,66.965,66.708,-0.13%
"Jan 08, 2016",66.847,66.891,66.93,66.6,-0.07%
"Jan 07, 2016",66.891,66.712,66.981,66.507,0.29%
"Jan 06, 2016",66.698,66.499,66.905,66.479,0.33%
"Jan 05, 2016",66.481,66.599,66.663,66.428,-0.15%
"Jan 04, 2016",66.579,66.165,66.66,66.165,0.52%
"Jan 01, 2016",66.235,66.209,66.267,66.13,0.04%
Highest: 68.909,Lowest: 66.024,Difference: 2.885,Average: 67.175,Change %: 2.639,
